source.id,source.name,author,title,description,url,urlToImage,publishedAt,content
techcrunch,TechCrunch,Natasha Mascarenhas,"Dear economy, creators aren’t fragile plants","Hello and welcome back to Equity, TechCrunch’s venture capital-focused podcast, where we unpack the numbers behind the headlines. For this week’s deep dive, Alex and Natasha brought on Alexis Gay, a former operator at Patreon who now makes her living as comed…",http://techcrunch.com/2021/06/30/dear-economy-creators-arent-fragile-plants/,https://techcrunch.com/wp-content/uploads/2020/07/equity-podcast-2019-phone.jpg?w=711,2021-06-30T14:00:19Z,"Hello and welcome back to Equity, TechCrunchs venture capital-focused podcast, where we unpack the numbers behind the headlines.
For this weeks deep dive, Alex and Natasha brought on Alexis Gay, a f… [+1775 chars]"
,New York Times,,Who is Hacking the U.S. Economy?,"In the past few weeks, cyberattacks have taken major industries hostage. Who are the perpetrators and why are the infiltrations becoming so common?",https://www.nytimes.com/2021/06/08/podcasts/the-daily/colonial-pipeline-jbs-ransomware-attacks.html,https://static01.nyt.com/images/2021/06/08/podcasts/08DAILY-pipeline/08DAILY-pipeline-facebookJumbo.jpg,2021-06-08T10:00:07Z,"Nicole Perlroth contributed reporting.
The Daily is made by Lisa Tobin, Rachel Quester, Lynsea Garrison, Annie Brown, Clare Toeniskoetter, Paige Cowett, Michael Simon Johnson, Brad Fisher, Larissa A… [+682 chars]"
,New York Times,David Leonhardt,The Specter of Inflation,Is it haunting the U.S. economy?,https://www.nytimes.com/2021/06/17/briefing/inflation-us-economy-covid-pandemic.html,https://static01.nyt.com/images/2021/06/17/lens/17ambriefing-promo/17ambriefing-inflation-facebookJumbo-v2.jpg,2021-06-17T10:30:22Z,"With excess saving they can afford more of everything, Jason Furman, a Harvard economist and former Obama administration official, wrote this week.
Although companies are increasing the supply of ma… [+2099 chars]"
techcrunch,TechCrunch,Ram Iyer,"As the economy reopens, startups are uniquely positioned to recruit talent","We are amidst a sprawling renegotiation between employers and employees as to the very nature of work, and no one has more leverage than skilled technologists, many of whom feel unmoored.",http://techcrunch.com/2021/06/15/as-the-economy-reopens-startups-are-uniquely-positioned-to-recruit-talent/,https://techcrunch.com/wp-content/uploads/2021/06/GettyImages-93550085.jpg?w=545,2021-06-15T15:50:07Z,"We are amidst a sprawling renegotiation between employers and employees as to the very nature of work, and no one has more leverage than skilled technologists many of whom feel unmoored from their cu… [+1659 chars]"
techcrunch,TechCrunch,Amanda Silberling,"A bank for the creator economy, Karat Financial raises $26M in Series A funding","The creator economy is changing the way that people earn a living, whether you’re an Instagram influencer or a freelance graphic designer. But traditional banks haven’t caught up. Take Alexandra Botez for example. The Stanford graduate earns six figures playi…",http://techcrunch.com/2021/07/01/a-bank-for-the-creator-economy-karat-raises-26m-in-series-a-funding/,https://techcrunch.com/wp-content/uploads/2021/06/Karat-Landing-Page_Mobile_1.2.jpg?w=400,2021-07-01T16:00:16Z,"The creator economy is changing the way that people earn a living, whether you’re an Instagram influencer or a freelance graphic designer. But traditional banks haven’t caught up.
Take Alexandra Bot… [+4712 chars]"
,New York Times,"Sabrina Tavernise, Claire Cain Miller, Quoctrung Bui and Robert Gebeloff",Why More American Women are Delaying Motherhood in their 20s,"The birthrate is falling for American women in their 20s, especially in places where the local economy is booming.",https://www.nytimes.com/2021/06/16/us/declining-birthrate-motherhood.html,https://static01.nyt.com/images/2021/06/14/us/14births-top1/14births-top1-facebookJumbo.jpg,2021-06-16T09:00:33Z,"The perceived price of having children has really increased since I first talked to women in the mid-1990s, said Kathryn Edin, a sociologist at Princeton University who has spent years writing about … [+1792 chars]"
techcrunch,TechCrunch,Annie Siebert,"The US should welcome refugees on humanitarian terms, not just economic ones","After experiencing hardship in their home countries, refugees have unparalleled drive to make a better life for themselves, their families and their communities -- which helps lift our entire economy.",http://techcrunch.com/2021/06/14/the-us-should-welcome-refugees-on-humanitarian-terms-not-just-economic-ones/,https://techcrunch.com/wp-content/uploads/2021/06/GettyImages-1162497947.jpg?w=711,2021-06-14T18:31:51Z,"In December 1991, about 20 days before the Soviet Union formally disintegrated, my family landed in San Francisco as religious refugees fleeing persecution. I was a 9-year-old kid who had just experi… [+5248 chars]"
,New York Times,Patrick McGeehan,New York and New Jersey Need an $11B Tunnel. Will Biden Make It Happen?,The transportation secretary said building a new rail link under the Hudson River is critical to the economy far beyond the region.,https://www.nytimes.com/2021/06/28/nyregion/gateway-tunnel-ny-nj.html,https://static01.nyt.com/images/2021/06/28/nyregion/28nyrails-1/merlin_190047198_022e6417-bb54-41c5-b361-bcdc339e0eac-facebookJumbo.jpg,2021-06-28T22:24:24Z,"New York and New Jersey have agreed to split the cost with the federal government, although each state will most likely borrow most of its share from the federal government and pay it back over decad… [+1750 chars]"
,New York Times,Neil Irwin,America Is Driving the Global Economy. When Does That Become a Problem?,New trade data suggests the outlook for the U.S. economy will depend in part on the rate of recovery of other nations.,https://www.nytimes.com/2021/06/08/upshot/pandemic-economy-trade.html,https://static01.nyt.com/images/2021/06/08/upshot/08up-trade/merlin_188260386_d6b47551-cad1-4bdd-8986-a893f1174ad7-facebookJumbo.jpg,2021-06-08T15:22:14Z,"In the math of global economics, a foreign tourist staying in the United States is essentially purchasing an American services export. Travel exports were only $18 billion in the first four months of… [+1785 chars]"
,New York Times,Andy Newman,How the Candidates for N.Y.C. Mayor Would Tackle Homelessness,"In the Democratic primary’s last days, and with New York’s economy starting to regain its footing, a chronic problem gains new urgency.",https://www.nytimes.com/2021/06/18/nyregion/ny-mayor-homelessness.html,https://static01.nyt.com/images/2021/06/17/nyregion/00nymayor-homeless1/00nymayor-homeless1-facebookJumbo.jpg,2021-06-18T09:00:26Z,"Expand the use of shelters that offer more privacy and have fewer rules.
So-called safe haven and stabilization shelters offer single-occupancy rooms and fewer rules and restrictions as to who quali… [+2275 chars]"
,New York Times,The New York Times,June Jobs Report Will Offer a Reading on Economic Momentum,"In today’s job’s report, economists expect payroll gains to top 700,000, an increase from the 559,000 announced for May. Here’s the latest on the economy.",https://www.nytimes.com/live/2021/07/02/business/economy-stock-market-news,https://static01.nyt.com/images/2021/07/02/business/02economy-briefing-jobs/02economy-briefing-jobs-facebookJumbo.jpg,2021-07-02T09:57:49Z,"The latest clues to the state of the nations economic recovery will come Friday morning when the Labor Department releases its June jobs report.Economists expect payroll gains to top 700,000, an incr… [+3074 chars]"
cnn,CNN,,Biden on jobs report: 'This is historic progress',"President Joe Biden speaks about the US economy adding 559,000 jobs in May, dropping the unemployment rate to 5.8%. CNN's Christine Romans breaks down the jobs report.",https://www.cnn.com/videos/business/2021/06/04/joe-biden-economy-sot-romans-nr-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/210604104621-01-biden-remarks-on-economy-0604-super-tease.jpg,2021-06-04T15:27:53Z,
techcrunch,TechCrunch,Mike Butcher,Australian ID verification startup OCR Labs raises $15M Series A to expand into UK/Turkey/Europe,"With the gig economy came the need for ID verification, thus startups like OnFido (raised $188.8 million) appeared, alongside several others. But this sector is by no means ‘done’ yet. Now, OCR Labs, which emerged from Australia, has announced a €12.5M / $15 …",http://techcrunch.com/2021/06/15/australian-id-verification-startup-ocr-labs-raises-15m-series-a-to-expand-into-uk-turkey-europe/,https://techcrunch.com/wp-content/uploads/2021/06/OCR-Labs_LtoR_Ronnie-Kessler-COO-Matthew-Adams-CTO-Co-Founder-and-Daniel-Aiello-CPO-Co-Founder-.jpg?w=601,2021-06-15T08:58:29Z,"With the gig economy came the need for ID verification, thus startups like OnFido (raised $188.8 million) appeared, alongside several others. But this sector is by no means done yet.
Now, OCR Labs, … [+2058 chars]"
techcrunch,TechCrunch,Ingrid Lunden,Home services platform Thumbtack raises $275M on a $3.2B valuation to double down on home management,"On the heels of making an acquisition in December of home management startup Setter, Thumbtack — one of the pioneers in the home services gig economy — has raised a big round to double down on the model. The company has raised a fresh $275 million, money that…",http://techcrunch.com/2021/06/15/thumbtack-home-services/,https://techcrunch.com/wp-content/uploads/2015/05/shutterstock_116263732.jpg?w=604,2021-06-15T12:19:40Z,"On the heels of making an acquisition in December of home management startup Setter, Thumbtack — one of the pioneers in the home services gig economy — has raised a big round to double down on the mo… [+5627 chars]"
techcrunch,TechCrunch,Darrell Etherington,SkyWatch raises $17.2M for its Earth observation data platform,"Waterloo-based SkyWatch was among the first startups to recognize that the key to unlocking the real benefits of the space economy lay in making Earth observation data accessible and portable, and now the company has raised a $17.2 million Series B to help it…",http://techcrunch.com/2021/06/15/skywatch-raises-17-2m-for-its-earth-observation-data-platform/,https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1032650858.jpg?w=600,2021-06-15T14:24:00Z,"Waterloo-based SkyWatch was among the first startups to recognize that the key to unlocking the real benefits of the space economy lay in making Earth observation data accessible and portable, and no… [+3934 chars]"
techcrunch,TechCrunch,Lucas Matney,Creator tools startup Spore raises $1M to build closer bonds between influencers and their fans,"Few spaces have grown hotter in the past year than the creator economy has, but for all of the new tools available to those starting a podcast, newsletter or storefront, most players have been more focused on building out their own platform opportunity rather…",http://techcrunch.com/2021/06/24/creator-tools-startup-spore-raises-1m-to-build-closer-bonds-between-influencers-and-their-fans/,https://techcrunch.com/wp-content/uploads/2021/06/press_image_1.png?w=764,2021-06-24T15:12:18Z,"Few spaces have grown hotter in the past year than the creator economy has, but for all of the new tools available to those starting a podcast, newsletter or storefront, most players have been more f… [+2610 chars]"
techcrunch,TechCrunch,Tage Kene-Okafor,Egypt’s Minly raises $3.6M to connect celebrities and fans through personalized experiences,"In the past year, we’ve seen a growing trend of creators adopting digital and social media, not just as a supplement to their media presence but also as a cornerstone of their personal brand. The pandemic has surely accelerated creator economy trends. Many po…",http://techcrunch.com/2021/06/27/egypts-minly-raises-3-6m-to-connect-celebrities-and-fans-through-personalized-experiences/,https://techcrunch.com/wp-content/uploads/2021/06/20210627_105637.jpg?w=450,2021-06-27T10:12:00Z,"In the past year, we’ve seen a growing trend of creators adopting digital and social media, not just as a supplement to their media presence but also as a cornerstone of their personal brand.
The pa… [+5903 chars]"
cnn,CNN,"Julia Horowitz, CNN Business",Americans are still sitting on loads of stimulus cash,"As CEO of one of America's biggest banks, Bank of America's Brian Moynihan has unique insight into the health of the country's economy. And right now, what he's seeing is positive.",https://www.cnn.com/2021/06/07/investing/premarket-stocks-trading/index.html,https://cdn.cnn.com/cnnnext/dam/assets/210607073257-shoppers-washington-dc-restricted-super-tease.jpg,2021-06-07T12:12:23Z,"A version of this story first appeared in CNN Business' Before the Bell newsletter. Not a subscriber? You can sign up right here.
London (CNN Business)As CEO of one of America's biggest banks, Bank … [+5273 chars]"
cnn,CNN,,Parents facing hurdles returning to work,"As the economy reopens, parents are in a bind -- childcare centers have a shortage of workers, leaving the number of open slots lower than usual. CNN's Vanessa Yurkevich reports.",https://www.cnn.com/videos/business/2021/06/11/childcare-labor-shortage.cnnbusiness,https://cdn.cnn.com/cnnnext/dam/assets/210611120755-childcare-worker2-super-tease.jpg,2021-06-11T16:11:26Z,
,Gizmodo.com,Whitney Kimball,8 Money Toilets,"A ferocious bidding war over a misshapen chicken nugget concluded at $99,997 in the wee hours of Friday morning. Doesn’t seem weird at all, in a world where people are spending millions of dollars for blockchain tokens backed only by words. But wait, is this …",https://gizmodo.com/8-money-toilets-1847036893,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/a528d73090abd2c91b536585aa942f8b.jpg",2021-06-04T22:20:00Z,"CryptoPunks represent the only historically relevant narrative upon which value could conceivably live for decades within an expanding catalogue raisonné, and Ill be damned if Im counting Jacks tweet… [+1096 chars]"
